"","chip","num.on.pwm","piqauc","dgfauc","centipedeauc","piqppv100","piqppv500","piqppv1000","dgfppv100","dgfppv500","dgfppv1000","centipedeppv100","centipedeppv500","centipedeppv1000","piqsens1000","piqsens5000","piqsens10000","dgfsens1000","dgfsens5000","dgfsens10000","centipedesens1000","centipedesens5000","centipedesens10000"
"35","Gata2sc267Pcr1xPkRep2",117,0.968752750441189,0.77127562292365,0.929601833080479,0.32,0.228,0.153,0.04,0.098,0.121,0.32,0.226,0.146,0.031,0.0236,NA,0.022,0.0192,NA,0.035,0.023,NA
"36","Hdac2sc6296V0416102PkRep1",107,0.948719364542111,0.779804641019096,0.86315071208173,0.66,0.262,0.164,0.16,0.234,0.121,0.64,0.242,0.159,0.012,0.0098,0.008,0.013,0.0088,0.0074,0.012,0.0092,0.0073
"37","Hdac2sc6296V0416102PkRep2",474,0.947129701822512,0.757354494716722,0.874115932324304,0.32,0.33,0.26,0.06,0.07,0.06,0.32,0.338,0.257,0.11,0.0814,NA,0.103,0.0746,NA,0.114,0.0802,NA
"38","Hey1Pcr1xPkRep1",426,0.946016397312253,0.884754755530211,0.839515836016591,0.84,0.664,0.651,0.6,0.614,0.647,0.81,0.778,0.69,0.044,0.04,0.0426,0.042,0.0422,0.0455,0.041,0.0422,0.0449
"39","Hey1Pcr1xPkRep2",610,0.913442435291374,0.825510143514298,0.476347698895555,0.86,0.792,0.754,0.5,0.584,0.628,0.34,0.084,0.166,0.054,0.0468,0.0357,0.054,0.0464,0.035,0.031,0.0234,0.0177
"40","MaxV0416102PkRep1",550,0.957143195019593,0.878006572308957,0.851409175571235,0.93,0.796,0.809,0.72,0.786,0.819,0.93,0.934,0.848,0.056,0.0508,0.043,0.056,0.0546,0.0465,0.056,0.052,0.0446
"41","MaxV0416102PkRep2",874,0.933084825189044,0.825153381163083,0.45999454573034,0.98,0.976,0.962,0.84,0.852,0.886,0.5,0.144,0.257,0.035,0.0468,0.0407,0.036,0.046,0.0407,0.018,0.0232,0.0189
"42","Mef2aV0416101PkRep1",826,0.924744052415322,0.678046375027515,0.891599889140218,0.23,0.174,0.156,0.04,0.05,0.039,0.23,0.174,0.156,0.177,NA,NA,0.152,NA,NA,0.18,NA,NA
"43","Mef2aV0416101PkRep2",458,0.956874586391125,0.756307086829593,0.938592807681933,0.2,0.158,0.136,0.02,0.02,0.017,0.2,0.158,0.136,0.196,NA,NA,0.163,NA,NA,0.193,NA,NA
"44","Nr2f2sc271940V0422111PkRep1",6513,NA,NA,NA,0.42,0.584,0.613,0.25,0.26,0.272,0.42,0.584,0.613,0.341,0.2628,0.209,0.252,0.2084,0.1729,0.337,0.2588,0.2049
"45","Nr2f2sc271940V0422111PkRep2",11894,NA,NA,NA,0.65,0.768,0.795,0.45,0.394,0.384,0.65,0.768,0.795,0.415,0.3382,0.2846,0.336,0.263,0.2246,0.403,0.336,0.2812
"46","NrsfV0416102PkRep1",2211,0.931720757643977,0.840806289563552,0.50580667066231,0.88,0.87,0.829,0.11,0.136,0.158,0.29,0.12,0.072,0.011,0.1016,0.1241,0.013,0.1004,0.1219,0.014,0.0098,0.0098
"47","NrsfV0416102PkRep2",1174,0.952979155440917,0.87800593422674,0.49942475355523,0.81,0.748,0.656,0.04,0.052,0.075,0.19,0.052,0.033,0.004,0.1256,0.1356,0.005,0.1228,0.1315,0.012,0.0104,0.0103
"48","Pmlsc71910V0422111PkRep1",962,0.94025151474605,0.71203506719935,0.445416461264758,0.62,0.726,0.694,0.53,0.532,0.553,0.45,0.154,0.081,0.072,0.1012,0.0867,0.073,0.0916,0.0788,0.01,0.0078,0.0078
"49","Pmlsc71910V0422111PkRep2",610,0.953651132275351,0.8673817766267,0.485735635030371,0.96,0.864,0.818,0.5,0.608,0.652,0.54,0.108,0.178,0.041,0.0386,0.0341,0.041,0.0386,0.0336,0.021,0.0152,0.0138
"50","Pol24h8V0416101PkRep1",1376,0.927299562466364,0.692600712460004,0.436129361811538,0.88,0.898,0.865,0.72,0.698,0.707,0.63,0.2,0.103,0.098,0.108,0.0866,0.097,0.099,0.0781,0.015,0.0094,0.0072
"51","Pol24h8V0416101PkRep2",710,0.908982693892501,0.828356110551537,0.446676891615542,0.96,0.9,0.842,0.6,0.648,0.692,0.48,0.108,0.177,0.045,0.035,0.0291,0.046,0.0356,0.0289,0.024,0.0154,0.0126
"52","Pol2V0416101PkRep1",740,0.920491188601425,0.836686069581108,0.45755457752247,0.92,0.916,0.874,0.66,0.72,0.762,0.48,0.12,0.196,0.044,0.0498,0.0391,0.043,0.0496,0.0384,0.021,0.0238,0.0175
"53","Pol2V0416101PkRep2",780,0.90425028614764,0.821163528715716,0.469546117432037,0.98,0.932,0.897,0.64,0.724,0.77,0.42,0.112,0.219,0.025,0.039,0.0389,0.025,0.0386,0.0386,0.012,0.0186,0.0194
"54","Pu1Pcr1xPkRep1",196,0.909548190267928,0.81874343547213,0.843836577924763,0.33,0.28,0.252,0.18,0.184,0.225,0.34,0.32,0.263,0.008,0.0104,0.0097,0.007,0.0106,0.0096,0.007,0.0106,0.01
